SampleID    GroupID
X01 LEP
X02 LEP
X03 LEP
X04 LEP
X05 LEP
X06 LEP
X07 LEP
X08 LEP
X09 LEP
X10 LEP
X11 LEP
X12 MEP
X13 MEP
X14 MEP
X15 MEP
X16 MEP
X17 MEP
X18 MEP
X19 MEP
X20 MEP
X21 MEP
X22 MEP
X23 MEP
X24 MEP
X25 MEP
X26 MEP
X27 MEP
X28 MEP
X29 MEP
X30 MEP
X31 MEP
X32 MEP
X33 MEP
X34 MEP
X35 MEP
X36 MEP
X37 LEP
X38 LEP
X39 LEP
X40 LEP
X41 LEP
X42 LEP
X43 LEP
X44 LEP
X45 LEP
X46 LEP
X47 LEP
X48 LEP
X49 MEP
X50 MEP
X51 MEP
X52 MEP
X53 MEP
X54 MEP
X55 MEP
X56 MEP
X57 MEP
X58 MEP
X59 MEP
X60 MEP
X61 MEP
X62 MEP
X63 MEP
X64 MEP
X65 MEP
X66 MEP
X67 MEP
X68 MEP
X69 MEP
X70 MEP
X71 MEP
X72 MEP
X73 MEP
X74 MEP
X75 MEP
X76 MEP
X77 MEP
X78 MEP
X79 MEP
X80 MEP
X81 MEP
X82 MEP
X83 MEP
X84 MEP
X85 MEP
X86 MEP
X87 MEP
X88 MEP
X89 MEP
X90 MEP
X91 MEP
X92 MEP
X93 MEP
X94 MEP
X95 MEP
X96 MEP
